cppex,patch_cpp,y
"#include <vector>
#include <algorithm>
#include <iterator>
#include <string>
#include <stdexcept>

class ComponentIdentifier {
public:
    static ComponentIdentifier builder() {
        return ComponentIdentifier();
    }
};

class MuleRuntimeException : public std::runtime_error {
public:
    explicit MuleRuntimeException(const std::string& msg)
        : std::runtime_error(msg) {}
};

class I18nMessageFactory {
};","#include <optional>
#include <vector>
#include <iterator>
#include <algorithm>
#include <stdexcept>
#include <string>",0
"&parserStateCacheSize, dwFlags);
END_TEMP_ALLOCATOR(tempAllocator, this);

if (FAILED(hr))
{
    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to serialize parser state cache (hr = 0x%08lx) for '%s'\n""), hr, url);
    return hr;
}

OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Successfully serialized parser state cache for '%s'\n""), url);
OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Trying to write parser state cache (%lu bytes) to stream for '%s'\n""), parserStateCacheSize, url);

hr = pDataCache->StartBlock(Js::SimpleDataCacheWrapper::BlockType_ParserState, parserStateCacheSize);

if (FAILED(hr))
{
    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to write a block to the parser state cache data stream (hr = 0x%08lx) for '%s'\n""), hr, url);
    return hr;
}

hr = pDataCache->WriteArray(parserStateCacheBuffer, parserStateCacheSize);

if (FAILED(hr))
{
    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to write parser state cache (hr = 0x%08lx) for '%s'\n""), hr, url);
    return hr;
}

OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Successfully wrote parser state cache for '%s'\n""), url);
#endif

return hr;","#if 0

    hr = SerializeParserStateCache(
        tempAllocator,
        &parserStateCacheBuffer,
        &parserStateCacheSize,
        dwFlags);
    END_TEMP_ALLOCATOR(tempAllocator, this);

    if (FAILED(hr))
    {
        OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to serialize parser state cache (hr = 0x%08lx) for '%s'\n""), hr, url);
        return hr;
    }

    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Successfully serialized parser state cache for '%s'\n""), url);
    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Trying to write parser state cache (%lu bytes) to stream for '%s'\n""), parserStateCacheSize, url);

    hr = pDataCache->StartBlock(Js::SimpleDataCacheWrapper::BlockType_ParserState, parserStateCacheSize);

    if (FAILED(hr))
    {
        OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to write a block to the parser state cache data stream (hr = 0x%08lx) for '%s'\n""), hr, url);
        return hr;
    }

    hr = pDataCache->WriteArray(parserStateCacheBuffer, parserStateCacheSize);

    if (FAILED(hr))
    {
        OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Failed to write parser state cache (hr = 0x%08lx) for '%s'\n""), hr, url);
        return hr;
    }

    OUTPUT_TRACE_DEBUGONLY(Js::DataCachePhase, _u("" Successfully wrote parser state cache for '%s'\n""), url);

    return hr;

#endif",1
"log_file = fs::path(packages_dir).parent_path() / log_file;
fs.install(phase_log, log_file);

// Archive the environment modifications for the build.
fs.install(pkg.env_mods_path, pkg.install_env_path);

if (fs::exists(pkg.configure_args_path)) {
    // Archive the args used for the build
}","fs.install(pkg.env_mods_path, pkg.install_env_path);

if (std::filesystem::exists(pkg.configure_args_path)) {
    // Archive the args used for the build
}",1
"```cpp
#include <string>
#include <vector>
#include <map>
#include <stdexcept>

class SchemaConversionException : public std::exception {
public:
    SchemaConversionException(const std::string& message) : msg(message) {}
    const char* what() const noexcept override { return msg.c_str(); }
private:
    std::string msg;
};

class WorkUnitState { /* ... */ };
class JsonArray; // Assume suitable implementation
class JsonElement;
class JsonObject;

class Schema {
public:
    class Field {
    public:
        // suitable constructors and members
    };
    // suitable constructors and members
};

class JsonElementConverter {
public:
    virtual Schema getSchema() = 0;
    virtual ~JsonElementConverter() = default;
};

class UnionConverter : public JsonElementConverter {
public:
    UnionConverter(const std::string&, const std::string&, const JsonObject&, WorkUnitState*) {}
    Schema getSchema() override { /* ... */ return Schema(); }
};

namespace JsonElementConversionFactory {
    JsonElementConverter* getConvertor(const std::string&, const std::string&, const std::string&, const JsonObject&, WorkUnitState*, bool) {
        // create and return appropriate converter
        return nullptr;
    }
}

std::string getPropOrBlankString(const JsonObject& map, const std::string& key);
bool getBooleanIfExists(const JsonObject& map, const std::string& key);
JsonArray getDataTypeTypeFromSchema(const JsonObject& map);
bool isUnionType(const JsonObject& map);
JsonElement getFirstType(const JsonArray& array);
std::string buildNamespace(const std::string& ns, const std::string& name);

class MyClass {
private:
    long numFailedConversion = 0;
    std::map<std::string, JsonElementConverter*> converters;

public:
    Schema convertSchema(const JsonArray& schema, WorkUnitState* workUnit) {
        std::vector<Schema::Field> fields;

        for (const auto& elem : schema) {
            JsonObject map = static_cast<const JsonObject&>(elem);

            std::string columnName = getPropOrBlankString(map, ""columnName"");
            std::string comment = getPropOrBlankString(map, ""comment"");
            std::string tempName = getPropOrBlankString(map, ""name"");
            std::string name = tempName.empty() ? """" : tempName;
            bool nullable = getBooleanIfExists","```cpp
class JsonIntermediateToAvroConverter : public ToAvroConverterBase<JsonArray> {
private:
    long numFailedConversion = 0;

public:
    Schema convertSchema(const JsonArray& schema, WorkUnitState& workUnit) override {
        std::vector<Schema::Field> fields;

        for (const auto& elem : schema) {
            const JsonObject& map = static_cast<const JsonObject&>(elem);

            std::string columnName = getPropOrBlankString(map, ""columnName"");
            std::string comment = getPropOrBlankString(map, ""comment"");
            std::string tempName = getPropOrBlankString(map, ""name"");
            std::optional<std::string> name = tempName.empty() ? std::nullopt : std::make_optional(tempName);
            bool nullable = getBooleanIfExists(map, ""isNullable"");
            Schema fldSchema;

            JsonArray dataTypeType = getDataTypeTypeFromSchema(map);
            std::shared_ptr<JsonElementConverter> converter;
            std::string sourceType;

            try {
                if (isUnionType(map)) {
                    converter = std::make_shared<UnionConverter>(columnName, ""UNION"", map, workUnit);
                    sourceType = ""union"";
                } else {
                    sourceType = getFirstType(dataTypeType).getAsString();
                    converter = JsonElementConversionFactory::getConvertor(
                        columnName,
                        buildNamespace(workUnit.getExtract().getNamespace(), name),
                        sourceType,
                        map,
                        workUnit,
                        nullable
                    );
                }
                this->converters[columnName] = converter;
                fldSchema = converter->getSchema();
            } catch (const UnsupportedDateTypeException& e) {
                // error handling logic here
            }

            // (rest of loop implementation as needed)
        }

        // (function's return logic as needed)
    }
};
```",1
"return UserList::create(resultUsers);
}

UserPageListResponse getPage(
    int page = 1,
    int perPage = 50,
    const std::string& query = """",
    const std::string& sort = StreamImpl::FIELD_TITLE,
    const std::string& order = ""asc"")
{
    SearchQuery searchQuery;
    auto sessions = sessionService.loadAll();
    auto lastSessionForUser = getLastSessionForUser(sessions);

    try {
        searchQuery = searchQueryParser.parse(query);
    } catch (const std::invalid_argument& e) {
        throw BadRequestException(std::string(""Invalid argument in search query: "") + e.what());
    }

    auto result = paginatedUserService.findPaginated(searchQuery, page, perPage, sort, order);

    std::set<std::string> allRoleIds;
    for (const auto& userDTO : result) {
        const auto& rolesOpt = userDTO.roles();
        if (rolesOpt) {
            allRoleIds.insert(rolesOpt->begin(), rolesOpt->end());
        }
    }

    std::map<std::string, std::string> roleNameMap;
    try {
        roleNameMap = getRoleNameMap(allRoleIds);
    } catch (const NotFoundException& e) {
        throw NotFoundException(std::string(""Couldn't find roles: "") + e.what());
    }

    auto adminUser = getAdminUserDTO(lastSessionForUser, roleNameMap);

    std::vector<UserDTO> users;
    users.reserve(result.size());
    for (const auto& userDTO : result) {
        UserDTO::Builder builder = userDTO.toBuilder()
            .fillSession(lastSessionForUser.count(userDTO.username()) 
                         ? lastSessionForUser.at(userDTO.username())
                         : std::nullopt);
        const auto& rolesOpt = userDTO.roles();
        if (rolesOpt) {
            std::set<std::string> mappedRoles;
            for (const auto& roleId : *rolesOpt) {
                auto it = roleNameMap.find(roleId);
                if (it != roleNameMap.end()) {
                    mappedRoles.insert(it->second);
                }
            }
            builder.roles(mappedRoles);
        }
        users.push_back(builder.build());
    }

    PaginatedList<UserDTO> userDTOS(users, result.pagination().total(),
                                    result.pagination().page(), result.pagination().perPage());

    return UserPageListResponse::","```cpp
#include <string>
#include <vector>
#include <set>
#include <map>
#include <optional>
#include <algorithm>

UserPageListResponse getPage(int page = 1,
                             int perPage = 50,
                             const std::string& query = """",
                             const std::string& sort = StreamImpl::FIELD_TITLE,
                             const std::string& order = ""asc"") {
    SearchQuery searchQuery;
    const auto sessions = sessionService.loadAll();
    const auto lastSessionForUser = getLastSessionForUser(sessions);

    try {
        searchQuery = searchQueryParser.parse(query);
    } catch (const std::invalid_argument& e) {
        throw BadRequestException(std::string(""Invalid argument in search query: "") + e.what());
    }

    PaginatedList<UserDTO> result = paginatedUserService.findPaginated(searchQuery, page, perPage, sort, order);

    std::set<std::string> allRoleIds;
    for (const auto& userDTO : result) {
        if (userDTO.roles().has_value()) {
            allRoleIds.insert(userDTO.roles()->begin(), userDTO.roles()->end());
        }
    }

    std::map<std::string, std::string> roleNameMap;
    try {
        roleNameMap = getRoleNameMap(allRoleIds);
    } catch (const org::graylog2::database::NotFoundException& e) {
        throw NotFoundException(std::string(""Couldn't find roles: "") + e.what());
    }

    UserDTO adminUser = getAdminUserDTO(lastSessionForUser, roleNameMap);

    std::vector<UserDTO> users;
    users.reserve(result.size());
    for (const auto& userDTO : result) {
        auto builder = userDTO.toBuilder()
            .fillSession(lastSessionForUser.count(userDTO.username()) ? lastSessionForUser.at(userDTO.username()) : std::optional<MongoDbSession>{});
        if (userDTO.roles().has_value()) {
            std::set<std::string> roleNames;
            for (const auto& roleId : userDTO.roles().value()) {
                auto it = roleNameMap.find(roleId);
                if (it != roleNameMap.end()) {
                    roleNames.insert(it->second);
                }
            }
            builder.roles(roleNames);
        }
        users.push_back(builder.build());
    }

    PaginatedList<UserDTO> userDTOS(users, result.pagination().total(),",1
"```cpp
void appendText(const std::string& text, const std::string& clazz, bool forceNewRange)
{
    auto last = class_.rbegin();
    if (last != class_.rend()) {
        ClassRange* range = last->second.get();
        if (!forceNewRange && StringUtil::equals(range->clazz, clazz))
        {
            range->appendRight(text, 0);
        }
        else
        {
            auto newRange = std::make_shared<ClassRange>(cursor_, clazz, text);
            appendChild(newRange->element);
            class_[cursor_] = newRange;
        }
    } else {
        auto newRange = std::make_shared<ClassRange>(cursor_, clazz, text);
        appendChild(newRange->element);
        class_[cursor_] = newRange;
    }
}

void insertText(std::shared_ptr<ClassRange> range)
{
    int start = range->start;
    int end = start + range->length;

    auto left = class_.empty() ? class_.end() : std::prev(class_.upper_bound(start));
    auto right = class_.empty() ? class_.end() : std::prev(class_.upper_bound(end));
}
```","```cpp
#include <map>
#include <string>

class VirtualConsole {
private:
    struct ClassRange {
        int start;
        int length;
        std::string clazz;
        std::string text;
        void* element;
        ClassRange(int start_, const std::string& clazz_, const std::string& text_)
            : start(start_), length(static_cast<int>(text_.size())), clazz(clazz_), text(text_), element(nullptr) {}
        void appendRight(const std::string& t, int) {
            text += t;
            length += static_cast<int>(t.size());
        }
    };

    int cursor_;
    std::map<int, ClassRange> class_;

    void appendChild(void* element) {
        // Assume implementation exists
    }

    static bool stringEquals(const std::string& a, const std::string& b) {
        return a == b;
    }

    void appendText(const std::string& text, const std::string& clazz, bool forceNewRange) {
        if (!class_.empty()) {
            auto last_it = std::prev(class_.end());
            ClassRange& range = last_it->second;
            if (!forceNewRange && stringEquals(range.clazz, clazz)) {
                range.appendRight(text, 0);
            } else {
                ClassRange newRange(cursor_, clazz, text);
                appendChild(newRange.element);
                class_.emplace(cursor_, newRange);
            }
        } else {
            // if map is empty, always create a new range
            ClassRange newRange(cursor_, clazz, text);
            appendChild(newRange.element);
            class_.emplace(cursor_, newRange);
        }
    }

    void insertText(const ClassRange& range) {
        int start = range.start;
        int end = start + range.length;

        auto left_it = class_.upper_bound(start);
        if (left_it != class_.begin()) --left_it;

        auto right_it = class_.upper_bound(end);
        if (right_it != class_.begin()) --right_it;

        // (Assume further logic is implemented here)
    }
};
```",1
"// [IGNORED: Requires database to be set up]
#include <gtest/gtest.h>

TEST(InjectedTest, TestInjected) {
}","#include <gtest/gtest.h>

TEST(FirewallManagerTest, DISABLED_testInjected) {
}",1
"#include <vector>
#include <string>

class UnusedPrivateMethodCheck : public SubscriptionBaseVisitor {
public:
  std::vector<Tree::Kind> nodesToVisit() override {
    return {Tree::Kind::METHOD, Tree::Kind::CONSTRUCTOR};
  }

  void visitNode(Tree* tree) override {
    MethodTree* node = static_cast<MethodTree*>(tree);
    Symbol* symbol = node->symbol();
    if (symbol->isPrivate() && symbol->usages().empty()) {
      if (node->is(Tree::Kind::CONSTRUCTOR)) {
        if (!node->parameters().empty()) {
          addIssue(node, ""Remove this unused private \"""" + node->simpleName().name() + ""\"" constructor."");
        }
      } else if (SerializableContract::SERIALIZABLE_CONTRACT_METHODS.find(symbol->name()) == SerializableContract::SERIALIZABLE_CONTRACT_METHODS.end()) {
        addIssue(node, ""Remove this unused private \"""" + symbol->name() + ""\"" method."");
      }
    }
  }
};","#include <vector>
#include <string>
#include <set>

class Tree {
public:
    enum class Kind { METHOD, CONSTRUCTOR };
    virtual Kind kind() const = 0;
};

class MethodTree : public Tree {
public:
    virtual const std::string& simpleName() const = 0;
    virtual std::vector<std::string> parameters() const = 0;
    virtual Symbol* symbol() const = 0;
    virtual bool is(Tree::Kind kind) const = 0;
};

class Symbol {
public:
    virtual bool isPrivate() const = 0;
    virtual std::vector<void*> usages() const = 0;
    virtual const std::string& name() const = 0;
};

class SerializableContract {
public:
    static const std::set<std::string> SERIALIZABLE_CONTRACT_METHODS;
};
const std::set<std::string> SerializableContract::SERIALIZABLE_CONTRACT_METHODS = {""readObject"", ""writeObject""};

class SubscriptionBaseVisitor {
public:
    virtual std::vector<Tree::Kind> nodesToVisit() = 0;
    virtual void visitNode(Tree* tree) = 0;
protected:
    void addIssue(const MethodTree* node, const std::string& message) {
        // Implementation to handle the issue detected
    }
};

class UnusedPrivateMethodCheck : public SubscriptionBaseVisitor {
public:
    std::vector<Tree::Kind> nodesToVisit() override {
        return {Tree::Kind::METHOD, Tree::Kind::CONSTRUCTOR};
    }

    void visitNode(Tree* tree) override {
        MethodTree* node = dynamic_cast<MethodTree*>(tree);
        Symbol* symbol = node->symbol();
        if (symbol->isPrivate() && symbol->usages().empty()) {
            if (node->is(Tree::Kind::CONSTRUCTOR)) {
                if (!node->parameters().empty()) {
                    addIssue(node, ""Remove this unused private \"""" + node->simpleName() + ""\"" constructor."");
                }
            } else if (SerializableContract::SERIALIZABLE_CONTRACT_METHODS.find(symbol->name()) == SerializableContract::SERIALIZABLE_CONTRACT_METHODS.end()) {
                addIssue(node, ""Remove this unused private \"""" + symbol->name() + ""\"" method."");
            }
        }
    }
};",1
"CCombo* wEncoding;
FormData fdlEncoding, fdEncoding;

Label* wlLength;
CCombo* wLength;
FormData fdlLength, fdLength;

Label* wlLimit;
Text* wLimit;
FormData fdlLimit, fdLimit;","Label* wlLength;
CCombo* wLength;
FormData fdlLength, fdLength;

Label* wlLimit;
Text* wLimit;
FormData fdlLimit, fdLimit;",0
"#include <memory>
#include <string>
#include <stdexcept>
#include <chrono>","#include ""lookup/LookupCachePurge.h""
#include ""lookup/LookupDataAdapter.h""
#include ""lookup/LookupDataAdapterConfiguration.h""
#include ""lookup/LookupResult.h""
#include ""system/urlwhitelist/UrlNotWhitelistedException.h""
#include ""system/urlwhitelist/UrlWhitelistNotificationService.h""
#include ""system/urlwhitelist/UrlWhitelistService.h""
#include <chrono>
#include <memory>
#include <string>",0
